Wave
18
17
15
14
12
11
10
10
13
19
27
35
44
52
57
61
62
62
61
60
58
57
54
52
49
46
43
41
39
37
36
34
33
30
28
26
24
22
22
18
16
16
13
11
11
9
8
8
7
9
9
20
28
28
45
52
52
59
59
58
56
54
52
49
46
43
40
37
35
33
31
30
29
28
27
26
24
23
21
19
17
15
13
12
11
9
8
8
7
6
6
6
7
10
16
24
32
40
46
51
53
53
53
51
49
48
46
44
41
40
38
36
34
32
31
30
29
28
27
26
24
22
21
19
18
17
15
14
13
12
11
11
10
9
9
9
13
17
24
31
38
43
47
49
49
48
47
46
44
42
40
39
36
34
32
31
30
29
29
28
26
25
24
23
22
21
20
19
18
17
16
15
14
13
13
14
18
23
29
35
41
46
48
50
49
48
47
45
44
42
40
38
36
34
32
31
30
30
29
29
28
27
26
25
24
23
22
22
21
20
19
19
20
22
27
32
39
44
49
52
54
55
54
53
52
51
49
48
46
44
42
41
40
40
40
39
39
38
37
36
35
33
32
30
29
28
27
26
27
29
34
40
40
52
58
58
63
64
64
63
62
62
59
57
57
53
50
50
46
44
44
42
41
40
39
37
36
34
33
32
32
31
30
30
29
30
34
39
44
52
59
65
69
71
72
73
73
72
71
70
68
65
62
58
55
52
50
48
46
45
43
42
40
39
37
35
32
31
29
28
26
25
24
23
24
26
31
37
44
51
58
63
66
67
68
67
66
65
64
62
59
57
54
51
49
47
45
44
43
41
40
39
37
36
34
32
30
29
27
26
25
24
23
22
21
22
24
29
35
41
49
57
62
64
66
65
64
62
61
59
56
54
51
48
46
44
42
41
40
40
39
37
36
34
32
30
29
27
26
24
23
22
21
20
20
20
23
28
35
42
50
57
63
66
66
66
65
64
62
60
58
55
52
49
47
44
42
41
40
39
38
36
35
33
32
30
29
27
26
25
24
23
23
25
29
35
41
49
56
61
64
65
65
63
62
60
58
55
52
49
46
44
42
40
39
38
37
35
34
32
30
28
26
24
23
21
20
19
18
20
24
29
37
44
51
56
60
61
60
59
57
55
52
50
47
44
42
40
39
38
37
35
34
33
31
30
28
26
25
24
22
21
20
20
20
24
24
37
45
45
60
64
64
66
65
65
61
58
58
52
49
49
44
42
42
40
39
38
36
35
33
31
29
27
25
23
22
20
20
22
26
32
40
48
56
63
67
69
69
68
67
65
62
60
57
53
50
48
45
44
42
41
40
40
39
37
35
33
31
29
27
25
24
24
27
33
40
48
57
65
70
73
74
73
72
71
69
66
63
59
56
52
49
46
45
43
41
40
39
37
35
33
31
29
26
24
23
21
22
25
31
39
47
57
64
69
72
73
73
71
70
68
66
63
59
56
52
48
46
44
42
40
39
37
35
33
31
28
26
24
23
21
19
18
17
18
22
29
38
47
57
65
70
73
74
74
73
72
70
67
64
60
57
53
49
46
43
41
40
38
36
34
32
30
28
25
23
21
20
18
17
16
15
14
13
12
13
15
21
29
39
49
60
68
73
75
76
76
75
73
71
68
64
60
55
51
47
44
41
40
37
36
34
32
30
28
25
23
21
19
19
15
14
14
11
10
10
7
6
6
4
5
5
16
25
25
46
56
56
68
70
70
69
68
66
65
62
59
56
53
49
46
44
42
41
40
38
36
34
32
30
28
26
24
23
21
19
18
16
15
14
13
12
11
10
8
7
6
7
12
19
29
40
51
61
68
72
73
73
71
70
68
65
62
59
56
52
49
47
44
43
41
40
39
37
36
33
31
29
27
24
22
20
19
17
15
14
13
12
11
10
9
9
8
8
7
7
10
15
24
34
45
57
66
73
76
76
75
74
72
69
67
63
60
56
53
50
47
45
44
42
40
40
38
35
33
31
29
27
25
23
22
20
18
17
16
14
13
12
10
10
12
17
24
34
44
54
63
68
71
71
70
68
65
62
59
56
52
52
45
42
40
40
38
37
36
35
33
31
29
28
26
24
22
21
20
18
17
15
14
13
12
13
18
25
35
46
57
67
74
78
80
79
78
76
74
72
69
65
62
58
55
52
50
48
46
45
43
42
40
39
37
35
33
30
29
27
25
24
23
22
20
19
18
20
24
31
40
50
61
71
77
81
83
83
82
81
79
77
74
71
67
64
60
56
54
52
50
48
46
44
44
40
38
38
33
31
31
27
25
25
21
19
19
16
14
14
16
21
21
39
49
59
68
74
77
79
79
78
76
74
72
69
66
62
59
55
53
50
49
47
46
44
42
40
39
37
34
32
30
28
27
25
24
22
21
19
17
16
15
14
17
22
29
39
49
59
67
72
75
76
76
76
75
74
72
69
66
63
59
56
53
50
48
46
44
42
40
39
36
34
32
29
28
26
24
23
21
20
19
18
17
17
16
15
14
15
18
24
33
42
52
62
69
74
75
76
75
74
73
71
68
65
61
58
54
51
49
47
46
45
43
41
40
38
36
34
32
30
28
26
24
22
21
19
18
16
15
14
16
20
27
35
44
54
62
67
70
71
71
70
68
66
63
60
57
54
50
47
45
43
42
41
40
39
37
35
33
32
30
28
26
25
24
22
21
20
18
17
18
21
27
35
44
54
63
69
73
75
75
75
74
73
71
68
65
61
57
53
50
48
46
45
43
42
42
39
37
37
33
31
31
26
24
24
21
19
19
16
14
14
15
20
20
36
46
57
66
73
77
79
79
79
78
77
75
73
69
65
61
57
53
49
46
44
42
40
39
36
33
31
28
26
23
21
20
18
16
15
14
13
12
11
10
9
8
8
11
17
26
37
48
60
69
75
78
80
81
81
80
79
76
74
70
66
62
58
54
51
48
46
43
41
39
37
33
30
27
24
22
19
17
16
14
12
11
10
9
8
7
7
6
5
4
4
4
7
14
23
34
46
58
67
73
77
78
78
78
76
75
73
70
67
63
59
55
52
49
46
44
42
40
38
35
33
30
28
25
23
21
19
17
16
14
13
12
10
9
8
7
6
5
4
3
3
4
8
15
25
37
49
61
69
74
76
76
75
74
73
71
69
66
63
59
55
51
48
46
43
42
40
38
36
34
31
29
26
24
22
20
18
16
14
13
12
10
9
8
6
5
6
9
15
24
35
46
57
66
71
73
73
72
70
68
65
62
58
55
51
47
44
41
40
39
38
37
35
34
32
29
27
25
22
21
18
17
15
13
12
10
9
9
12
18
27
37
47
57
65
69
71
71
69
67
65
62
59
55
52
52
44
42
42
39
39
39
37
35
35
31
29
29
25
23
23
20
19
19
16
15
17
22
29
38
47
56
63
68
70
70
69
67
65
62
59
55
51
48
44
41
40
38
37
36
35
33
32
30
28
25
23
22
20
18
17
15
16
18
24
32
40
50
59
66
69
71
71
70
69
67
65
63
60
57
53
50
46
44
42
40
40
38
37
35
32
30
28
26
24
22
21
19
18
17
20
