lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
7.2637912179475356e-06,2.1654929732564516e-05,0.3354336083124898,25.117954664654413,74.88204533534558,3.1247485686343934e-05,2.328764735831881e-06,1
0.0007305768205477908,0.0017723291965128587,0.41221282253050684,29.189143162705005,70.810856837295,0.002744911268574954,0.00024200525151430442,2
0.00016677227879628026,0.0003812135509297895,0.4374773099999159,30.433684549771538,69.56631545022847,0.0006036777831485054,5.569195342243557e-05,3
1.095878679449292e-05,2.5189785549425844e-05,0.4350488325115061,30.315960171900137,69.68403982809987,3.980546815301472e-05,3.65689580909596e-06,4
9.685880901812131e-05,0.00023257236265220266,0.41646740787927394,29.401834843683865,70.59816515631614,0.0003615619280044049,3.2130756334080955e-05,5
3.1819814787887044e-05,7.678371701389937e-05,0.4144083671037575,29.29906077636753,70.70093922363246,0.00011915176473746607,1.0548232935679656e-05,6
3.197626664117995e-05,7.305737273444182e-05,0.43768705942124864,30.443833833869434,69.55616616613057,0.00011571246944054578,1.067883006492401e-05,7
9.974685091124449e-05,0.0002321472139985735,0.4296706783302487,30.053821823643528,69.94617817635648,0.0003651240632405285,3.32299983307105e-05,8
1.5288935621822915e-06,3.6814359208810725e-06,0.41529815947913706,29.34351017823527,70.65648982176472,5.71730763538809e-06,5.069781523247258e-07,9
2.9590578339139386e-05,6.760204543279096e-05,0.43771720440852546,30.445292235937426,69.55470776406257,0.00010707481600709702,9.882192235166663e-06,10
0.0004636313649705865,0.0010627274518370245,0.43626553936209705,30.37499176899141,69.6250082310086,0.0016811274521588604,0.00015476863535124935,11
0.00010976444087178597,0.00025084640054317647,0.43757630420091664,30.438475016750182,69.56152498324983,0.0003972666800681159,3.665583865315344e-05,12
