lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
2027.35472,1090.676683,1.858804494,65.02034322,34.97965678,3371.712923,253.6815199,cppg8_0,,,2275.244171,1454.269943,1.564526711,61.00645021,38.99354979,3993.761605,264.2474913,rppg8_0
1926.089465,1004.219914,1.917995688,65.72990138,34.27009862,3202.438106,272.1287272,cppg8_1,,,2087.726149,1314.475828,1.588257543,61.36396849,38.63603151,3684.394051,282.192075,rppg8_1
1833.567361,1003.34565,1.827453343,64.63248447,35.36751553,3129.164148,292.2511377,cppg8_2,,,1960.817434,1313.550559,1.492761295,59.88384439,40.11615561,3581.595994,307.2280008,rppg8_2
1727.043872,1060.631693,1.628316298,61.95282886,38.04717114,3076.801879,289.1263135,cppg8_3,,,1844.094368,1336.614251,1.379675824,57.97746945,42.02253055,3476.003574,295.2949551,rppg8_3
1851.709029,1074.058665,1.724029692,63.28968062,36.71031938,3255.143286,329.3755926,cppg8_4,,,1973.204656,1321.662245,1.492971947,59.88723415,40.11276585,3649.866275,354.9993731,rppg8_4
1735.38113,1183.995705,1.465698839,59.44354662,40.55645338,3302.361152,382.9843164,cppg8_5,,,1845.910884,1452.310721,1.271016496,55.96685441,44.03314559,3702.740701,404.5190966,rppg8_5
1640.018767,1136.645675,1.442858406,59.06434865,40.93565135,3156.986255,380.3218137,cppg8_6,,,1754.84407,1489.140164,1.178427735,54.09533288,45.90466712,3643.314805,399.3305717,rppg8_6
1805.899634,1163.313868,1.552375231,60.8208077,39.1791923,3350.014264,380.800763,cppg8_7,,,1904.555233,1451.30378,1.312306396,56.75313611,43.24686389,3769.287587,413.4285741,rppg8_7
1652.295125,1277.81122,1.293066691,56.3902784,43.6097216,3393.45149,463.3451448,cppg8_8,,,1774.278682,1569.852031,1.130220331,53.05649911,46.94350089,3838.461671,494.3309584,rppg8_8
1650.607312,1254.152299,1.316113931,56.82423104,43.17576896,3369.382051,464.6224405,cppg8_9,,,1701.58661,1523.309153,1.117033011,52.76408093,47.23591907,3715.039765,490.1440016,rppg8_9
1739.655786,1290.807909,1.347726315,57.40559733,42.59440267,3465.141598,434.6779043,cppg8_10,,,1846.992974,1599.744,1.154555337,53.58671078,46.41328922,3906.006428,459.2694534,rppg8_10
