lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
722.7024797,525.7515464,1.374608377,57.88779279,42.11220721,1489.923731,241.4697044,cppg2_0,,,779.6284567,868.2558287,0.897924818,47.31087393,52.68912607,1892.837658,244.9533725,rppg2_0
663.5668096,544.5360289,1.218591194,54.92635134,45.07364866,1422.278053,214.1752149,cppg2_1,,,725.4967214,883.3733471,0.82127984,45.09355576,54.90644424,1818.642999,209.7729303,rppg2_1
719.3475923,545.2926713,1.319195416,56.88159811,43.11840189,1472.156414,207.5161507,cppg2_2,,,787.2425341,899.3010294,0.875393787,46.67786538,53.32213462,1894.899427,208.3558639,rppg2_2
789.6749452,524.9735233,1.504218613,60.06738411,39.93261589,1582.706048,268.0575798,cppg2_3,,,850.1695192,847.7337471,1.002873275,50.07172882,49.92827118,1972.287613,274.3843469,rppg2_3
664.1840013,484.605085,1.370567544,57.81600898,42.18399102,1428.866113,280.0770267,cppg2_4,,,704.7440344,826.8320638,0.852342411,46.0143009,53.9856991,1811.268998,279.6929001,rppg2_4
775.2060519,520.9687596,1.48800871,59.80721466,40.19278534,1530.530683,234.3558711,cppg2_5,,,844.1644959,853.2165865,0.98939063,49.73335126,50.26664874,1929.862227,232.4811448,rppg2_5
527.4375516,495.5743199,1.064295567,51.55732463,48.44267537,1215.245555,192.2336838,cppg2_6,,,615.193788,784.75807,0.783927954,43.94392453,56.05607547,1591.676068,191.72421,rppg2_6
425.1906537,498.1706353,0.853504048,46.04813508,53.95186492,1114.450752,191.0894632,cppg2_7,,,492.5104626,880.8541464,0.559128279,35.86159563,64.13840437,1561.141612,187.7770025,rppg2_7
492.65963,482.5777219,1.020891781,50.5168951,49.4831049,1162.449039,187.2116869,cppg2_8,,,554.9668571,845.9943687,0.655993559,39.61329171,60.38670829,1576.710018,175.7487925,rppg2_8
425.3470126,475.7279914,0.89409709,47.20439594,52.79560406,1116.406849,215.3318455,cppg2_9,,,481.2852644,843.6563163,0.570475507,36.32501775,63.67498225,1533.804823,208.8632419,rppg2_9
354.1448559,450.1144949,0.786788384,44.03366346,55.96633654,1025.25642,220.9970687,cppg2_10,,,394.0466891,813.1373243,0.48460042,32.6418081,67.3581919,1418.619305,211.4352918,rppg2_10
