lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
582.5655559,290.5420251,2.00509911,66.7232273,33.2767727,1188.789257,315.6816759,cppg4_0,,,635.8107698,756.7786695,0.84015419,45.65672781,54.34327219,1704.235985,311.6465456,rppg4_0
556.0214798,296.0177929,1.878338036,65.25772903,34.74227097,1160.306464,308.2671908,cppg4_1,,,621.0098584,847.3422014,0.732891454,42.29298105,57.70701895,1762.831557,294.4794968,rppg4_1
634.2754676,313.341848,2.0242284,66.9337144,33.0662856,1269.66209,322.0447746,cppg4_2,,,707.2923597,1091.106561,0.64823399,39.32900268,60.67099732,2116.979192,318.5802712,rppg4_2
448.4450882,317.090069,1.414251445,58.57929371,41.42070629,1074.654692,309.1195347,cppg4_3,,,528.9320256,981.2432807,0.539042698,35.02454473,64.97545527,1819.939564,309.7642578,rppg4_3
438.771052,321.6598865,1.364083837,57.70031568,42.29968432,1050.820816,290.3898774,cppg4_4,,,532.7246028,1113.879583,0.478260497,32.35292412,67.64707588,1934.220668,287.6164817,rppg4_4
482.9912676,350.4126398,1.378350016,57.95404405,42.04595595,1131.850576,298.4466689,cppg4_5,,,562.4100407,1011.552228,0.555987151,35.73211709,64.26788291,1869.581407,295.6191392,rppg4_5
389.2385721,334.6796141,1.163018468,53.76830967,46.23169033,1010.725415,286.8072291,cppg4_6,,,451.2675594,872.9766774,0.516929686,34.07736631,65.92263369,1616.037263,291.7930264,rppg4_6
366.581462,323.6444059,1.132667382,53.11036271,46.88963729,970.5139135,280.2880456,cppg4_7,,,441.055044,818.4378604,0.538898633,35.01846199,64.98153801,1542.413861,282.9209568,rppg4_7
303.8138343,338.4372128,0.897696302,47.30452923,52.69547077,904.7054017,262.4543546,cppg4_8,,,358.9459197,754.1343117,0.475970811,32.24798263,67.75201737,1369.055306,255.9750751,rppg4_8
285.3078393,325.4584366,0.876633718,46.71309641,53.28690359,732.8695152,122.1032393,cppg4_9,,,331.0453544,726.1220994,0.455908661,31.3143725,68.6856275,1181.938125,124.7706709,rppg4_9
366.7240188,331.8405014,1.105121338,52.49679997,47.50320003,825.5765873,127.0120671,cppg4_10,,,401.9463759,787.0607386,0.510692957,33.80521201,66.19478799,1317.810119,128.8030039,rppg4_10
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2.178415724,,1.496330164,,,,,,,,,,,,,,
,2.132448001,,1.346121275,,,,,,,,,,,,,,
,2.149193132,,1.643966969,,,,,,,,,,,,,,
,1.916840244,,1.625335356,,,,,,,,,,,,,,
,1.769425681,,1.496788308,,,,,,,,,,,,,,
,1.845506384,,1.328555514,,,,,,,,,,,,,,
