lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
828.9659335,970.6822841,0.854003361,46.06266521,53.93733479,2121.769021,322.1208038,cppg3_0,,,927.4894739,1317.138423,0.704170084,41.32041106,58.67958894,2576.088508,331.4606109,rppg3_0
953.3685332,922.4410858,1.033527829,50.82437597,49.17562403,2160.730507,284.9208884,cppg3_1,,,1066.227321,1285.68705,0.829305484,45.33444474,54.66555526,2644.218791,292.3044193,rppg3_1
1006.908008,949.7006845,1.060237214,51.46189995,48.53810005,2248.569787,291.9610952,cppg3_2,,,1025.308964,1299.794685,0.788823785,44.0973444,55.9026556,2612.286756,287.1831068,rppg3_2
1091.60687,967.1582314,1.128674538,53.02240985,46.97759015,2309.408729,250.6436276,cppg3_3,,,1196.961758,1291.264458,0.926968717,48.10502158,51.89497842,2745.04627,256.8200532,rppg3_3
1453.249375,902.2782741,1.610644318,61.69527985,38.30472015,2587.992772,232.4651229,cppg3_4,,,1618.459787,1192.783221,1.356876722,57.5709671,42.4290329,3052.080655,240.8376472,rppg3_4
1549.325939,916.8269538,1.689878262,62.82359636,37.17640364,2775.515926,309.3630331,cppg3_5,,,1646.413499,1222.982342,1.346228348,57.37840263,42.62159737,3183.433843,314.0380016,rppg3_5
1844.322788,900.4183844,2.048295348,67.19477984,32.80522016,3008.643871,263.9026987,cppg3_6,,,2081.366362,1324.042942,1.57197799,61.11941844,38.88058156,3685.167045,279.7577412,rppg3_6
1909.694808,960.9132524,1.987374826,66.52579411,33.47420589,3153.860185,283.2521245,cppg3_7,,,2153.905059,1463.72494,1.471523098,59.53911979,40.46088021,3904.309493,286.6794943,rppg3_7
1983.421766,976.9307259,2.030258352,66.99951345,33.00048655,3300.31141,339.9589186,cppg3_8,,,2286.106274,1607.908468,1.421788814,58.70820799,41.29179201,4237.001122,342.9863803,rppg3_8
1878.870517,884.9675812,2.123095305,67.98048403,32.01951597,2924.240408,160.4023096,cppg3_9,,,2347.468868,1754.779372,1.337757274,57.22395942,42.77604058,4275.324002,173.0757623,rppg3_9
2196.763594,816.3336137,2.691012053,72.90715973,27.09284027,3152.07999,138.9827828,cppg3_10,,,2803.378017,2454.533116,1.142122711,53.31733356,46.68266644,5444.074138,186.1630045,rppg3_10
