lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
203.328386,405.4652152,0.50146937,33.39857475,66.60142525,785.3769958,176.5833946,cppg10_0,,,390.6915045,1768.552052,0.220910379,18.09390624,81.90609376,2350.31585,191.0722935,rppg10_0
110.3431179,431.971643,0.255440651,20.34669271,79.65330729,635.3234014,93.0086405,cppg10_1,,,249.6133094,1493.312533,0.167154098,14.32151061,85.67848939,1840.378418,97.45257541,rppg10_1
153.5503715,444.9782642,0.345073869,25.65464078,74.34535922,728.8136387,130.2850031,cppg10_2,,,294.0385885,1656.173062,0.17754098,15.07726551,84.92273449,2079.592464,129.3808136,rppg10_2
176.2724284,436.6444487,0.403697857,28.75959775,71.24040225,759.7768011,146.859924,cppg10_3,,,343.8959942,1684.432919,0.204161288,16.95464635,83.04535365,2178.09718,149.7682668,rppg10_3
164.4857717,427.9281522,0.384377076,27.76534532,72.23465468,747.582334,155.1684102,cppg10_4,,,319.0714334,1412.736725,0.225853429,18.42417891,81.57582109,1884.078668,152.2705092,rppg10_4
187.1367379,443.0716348,0.422362262,29.69442267,70.30557733,781.9292764,151.7209037,cppg10_5,,,334.7702505,1434.8411,0.233315209,18.91772735,81.08227265,1920.157982,150.5466311,rppg10_5
176.256291,430.0616049,0.409839635,29.069947,70.930053,739.3515949,133.0336991,cppg10_6,,,321.3116204,1527.483922,0.210353521,17.37951077,82.62048923,1985.11816,136.3226183,rppg10_6
202.692697,449.92151,0.450506794,31.05857868,68.94142132,826.1110891,173.4968821,cppg10_7,,,379.838758,1302.767842,0.291562891,22.57442459,77.42557541,1853.345834,170.7392345,rppg10_7
238.3455148,443.8873379,0.53695047,34.9360946,65.0639054,855.2073559,172.9745032,cppg10_8,,,335.4195926,879.4807058,0.381383685,27.60881638,72.39118362,1386.839517,171.9392187,rppg10_8
214.7271794,449.4713813,0.477732706,32.32876312,67.67123688,825.773737,161.5751764,cppg10_9,,,330.7393881,894.5175062,0.369740543,26.99347293,73.00652707,1376.701939,151.4450449,rppg10_9
227.6909178,478.1535474,0.476187867,32.25794477,67.74205523,875.085951,169.2414859,cppg10_10,,,330.515539,962.679466,0.343328751,25.55805874,74.44194126,1463.891904,170.696899,rppg10_10
