lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
2447.37872,1282.364125,1.908489696,65.61789436,34.38210564,4034.504131,304.7612867,cppg7_0,,,2561.927334,1492.705914,1.716297437,63.18518044,36.81481956,4368.663847,314.0305988,rppg7_0
2062.257604,1344.512145,1.533833376,60.53410578,39.46589422,3674.503981,267.7342324,cppg7_1,,,2154.612682,1576.053922,1.367093252,57.75409359,42.24590641,3990.209034,259.5424307,rppg7_1
2302.896052,1298.153229,1.773978603,63.95069526,36.04930474,3917.014976,315.9656957,cppg7_2,,,2395.32287,1598.527288,1.49845604,59.97528137,40.02471863,4312.340736,318.4905778,rppg7_2
2144.754264,1246.812073,1.720190485,63.23786861,36.76213139,3870.783751,479.2174146,cppg7_3,,,2259.529005,1427.481521,1.582877937,61.28349754,38.71650246,4152.214851,465.2043254,rppg7_3
2394.949327,1359.138859,1.762107904,63.79576633,36.20423367,4146.066105,391.9779189,cppg7_4,,,2514.118278,1627.494299,1.544778547,60.7038498,39.2961502,4530.30529,388.6927131,rppg7_4
2455.977236,1225.089307,2.004733223,66.71917519,33.28082481,4046.032234,364.9656899,cppg7_5,,,2569.394513,1462.703332,1.756606727,63.72351593,36.27648407,4395.367648,363.2698028,rppg7_5
2292.564989,1279.685916,1.791505994,64.17704271,35.82295729,4054.167912,481.9170066,cppg7_6,,,2414.060857,1448.18919,1.666951303,62.50400227,37.49599773,4345.569078,483.3190305,rppg7_6
2550.059479,1180.888205,2.159441909,68.34884043,31.65115957,4114.965772,384.0180878,cppg7_7,,,2747.238231,1455.665548,1.887272962,65.36524211,34.63475789,4590.263883,387.3601037,rppg7_7
2402.124374,1243.636547,1.931532472,65.88814862,34.11185138,3973.787937,328.0270161,cppg7_8,,,2531.814834,1494.109477,1.694531005,62.88779019,37.11220981,4365.462929,339.5386178,rppg7_8
2687.094371,1174.410094,2.288037531,69.58672185,30.41327815,4266.015492,404.5110275,cppg7_9,,,2873.638114,1480.647376,1.940798437,65.99562937,34.00437063,4761.181766,406.8962765,rppg7_9
3252.344132,1039.247721,3.129517695,75.78409699,24.21590301,4656.183268,364.5914155,cppg7_10,,,3503.726648,1312.753417,2.66899069,72.7445479,27.2554521,5195.633289,379.1532247,rppg7_10
