lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
547.0920112,927.0442399,0.590146605,37.11271674,62.88728326,1689.466083,215.3298323,cppg9_0,,,597.5079356,916.8631164,0.651687177,39.45584768,60.54415232,1713.416165,199.0451133,rppg9_0
564.7740419,765.0283219,0.73823939,42.47052474,57.52947526,1552.248943,222.4465791,cppg9_1,,,544.0214086,767.3473135,0.708963723,41.48500718,58.51499282,1529.045877,217.6771545,rppg9_1
588.8928251,763.2408585,0.771568789,43.55285518,56.44714482,1658.210445,306.0767612,cppg9_3,,,554.6283283,829.6317518,0.668523507,40.06677186,59.93322814,1678.242115,293.9820349,rppg9_3
754.3892679,707.3912128,1.066438562,51.607562,48.392438,1843.997428,382.2169476,cppg9_4,,,701.8690176,829.1202681,0.846522567,45.84414954,54.15585046,1901.603962,370.6146765,rppg9_4
827.2637534,666.5735103,1.24106905,55.3784387,44.6215613,1992.751912,498.9146478,cppg9_5,,,805.3823273,823.8817847,0.977545981,49.43227567,50.56772433,2123.448778,494.1846663,rppg9_5
918.8579172,691.5375366,1.328717341,57.05790556,42.94209444,2095.20462,484.8091667,cppg9_6,,,869.5318607,871.1547007,0.998137139,49.95338506,50.04661494,2217.327629,476.6410671,rppg9_6
795.8561816,694.5337908,1.145885473,53.39919057,46.60080943,1899.642218,409.2522459,cppg9_7,,,757.6997673,885.6048965,0.855573146,46.10829532,53.89170468,2039.214846,395.9101827,rppg9_7
939.3462776,708.1788062,1.326425289,57.01559793,42.98440207,2111.174686,463.6496025,cppg9_8,,,951.7759436,909.7599674,1.046183584,51.12852983,48.87147017,2325.921979,464.3860681,rppg9_8
1006.891056,687.027826,1.465575363,59.44151556,40.55848444,2132.303116,438.3842342,cppg9_9,,,992.8851904,927.4122918,1.070597402,51.70475927,48.29524073,2349.168001,428.8705189,rppg9_9
959.7629522,698.1954526,1.374633634,57.88824071,42.11175929,2089.896734,431.9383294,cppg9_10,,,951.732156,982.3464316,0.968835561,49.20855657,50.79144343,2359.460089,425.3815012,rppg9_10
