lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
3.505394039295511e-05,8.009987855681357e-05,0.437627884393007,30.440970792506683,69.55902920749331,0.00012686026464642946,1.1706445696660784e-05,1
2.462794837714309e-05,0.00014222367917858013,0.17316348810115884,14.76038845885284,85.23961154114717,0.00017342733870272638,6.5757111470031724e-06,2
0.0001479259936411334,0.00033931291125999886,0.43595745617762527,30.360053795611762,69.63994620438822,0.0005366147119395504,4.937580703841815e-05,3
0.00012398426940381729,0.0002835931970835233,0.4371905626752453,30.419804723838496,69.5801952761615,0.0004489772210748232,4.139975458748262e-05,4
0.00010417360432419524,0.0002459795687310707,0.42350511004468083,29.750866860701887,70.24913313929811,0.0003847901971083295,3.4637024053063524e-05,5
4.435546149728776e-05,0.00010396190571890418,0.42665110061773587,29.905777273293882,70.0942227267061,0.00016308007663478908,1.4762709418597145e-05,6
1.1889451902873436e-05,2.7192869629778358e-05,0.43722681955763654,30.421560021556676,69.57843997844331,4.305238771563331e-05,3.970066182981514e-06,7
0.00015853777398905106,0.000365518930017879,0.43373341561624823,30.25202669422479,69.74797330577522,0.0005769388132335226,5.2882109226592526e-05,8
1.7663106882962635e-06,4.511704963596948e-06,0.39149516702618686,28.13485639787488,71.86514360212513,6.8587597670868155e-06,5.807441151936039e-07,9
1.132742142530595e-05,2.5918568707375475e-05,0.43703884860287756,30.412458857864337,69.58754114213565,4.102817213903484e-05,3.782182006353418e-06,10
0.0012396574402344456,0.002836315054623004,0.437066199050732,30.4137832578235,69.5862167421765,0.0044898927033959375,0.00041392020853848826,11
0.00010349924799557634,0.000236682664418987,0.4372912069823458,30.42467697972336,69.57532302027664,0.00037474253120266254,3.456061878809921e-05,12
